dataset_index,image_id,class_id,class_name,intersection_pixels,union_pixels,iou,is_foreground
431,2008_002123,0,background,102050,103850,0.9826673086181993,False
431,2008_002123,14,motorbike,29299,31346,0.9346966120079117,True
431,2008_002123,15,person,31477,32630,0.9646644192460926,True
440,2008_002221,0,background,174263,174349,0.9995067364883079,False
440,2008_002221,1,aeroplane,9335,9421,0.9908714573824435,True
444,2008_002258,0,background,133337,134263,0.993103088713942,False
444,2008_002258,7,car,27766,29092,0.9544204592327787,True
444,2008_002258,15,person,0,400,0.0,True
456,2008_002710,0,background,151318,151774,0.9969955328317103,False
456,2008_002710,7,car,31868,32324,0.9858928350451677,True
469,2008_003060,0,background,89623,91638,0.9780113053536742,False
469,2008_003060,6,bus,73199,74888,0.9774463198376242,True
469,2008_003060,7,car,13413,13759,0.9748528236063667,True
469,2008_003060,15,person,61,457,0.13347921225382933,True
474,2008_003094,0,background,164259,164412,0.9990694109918984,False
474,2008_003094,10,cow,13201,13347,0.9890612122574362,True
474,2008_003094,15,person,676,769,0.8790637191157347,True
490,2008_003523,0,background,90022,101719,0.8850067342384412,False
490,2008_003523,9,chair,0,142,0.0,True
490,2008_003523,15,person,16693,18233,0.9155377612022157,True
490,2008_003523,16,pottedplant,52456,63103,0.8312758505934742,True
492,2008_003585,0,background,102979,108172,0.9519931220648596,False
492,2008_003585,20,tvmonitor,73970,79163,0.9344011722648207,True
520,2008_004547,0,background,157363,159211,0.9883927618066591,False
520,2008_004547,19,train,24726,26574,0.930458342741025,True
544,2008_005300,0,background,139841,140298,0.9967426477925558,False
544,2008_005300,8,cat,42314,42771,0.9893151901989666,True
545,2008_005321,0,background,152444,156647,0.973168972275243,False
545,2008_005321,4,boat,25628,29831,0.8591062988166672,True
552,2008_005600,0,background,64448,66740,0.9656577764459096,False
552,2008_005600,8,cat,17374,20396,0.851833692880957,True
552,2008_005600,9,chair,0,385,0.0,True
552,2008_005600,12,dog,0,11,0.0,True
552,2008_005600,15,person,81342,85425,0.9522036874451273,True
552,2008_005600,18,sofa,0,17,0.0,True
552,2008_005600,20,tvmonitor,0,722,0.0,True
556,2008_005679,0,background,64474,71217,0.9053175505848323,False
556,2008_005679,12,dog,123305,127616,0.9662189694082247,True
556,2008_005679,18,sofa,0,2432,0.0,True
565,2008_005843,0,background,185026,185072,0.9997514480850695,False
565,2008_005843,3,bird,1227,1273,0.9638648860958366,True
588,2008_006482,0,background,187956,188044,0.9995320244198166,False
588,2008_006482,9,chair,3760,4810,0.7817047817047817,True
588,2008_006482,11,diningtable,10649,11661,0.9132149901380671,True
613,2008_007428,0,background,182991,183202,0.9988482658486261,False
613,2008_007428,14,motorbike,852,933,0.9131832797427653,True
613,2008_007428,16,pottedplant,1661,1791,0.9274148520379676,True
637,2009_000006,0,background,132183,132988,0.9939468222696785,False
637,2009_000006,6,bus,65556,66361,0.9878693811124003,True
664,2009_000553,0,background,144788,145158,0.9974510533349867,False
664,2009_000553,8,cat,17381,17751,0.9791561038814715,True
691,2009_001085,0,background,137736,142798,0.9645513242482388,False
691,2009_001085,9,chair,8752,16990,0.5151265450264861,True
691,2009_001085,16,pottedplant,891,4607,0.19340134577816367,True
699,2009_001140,0,background,93861,95390,0.9839710661494916,False
699,2009_001140,14,motorbike,53373,56166,0.9502724067941459,True
699,2009_001140,15,person,6955,8275,0.8404833836858006,True
704,2009_001197,0,background,112426,113504,0.9905025373555117,False
704,2009_001197,6,bus,73622,74686,0.9857536887770131,True
704,2009_001197,7,car,1870,2528,0.7397151898734177,True
705,2009_001203,0,background,131105,133211,0.9841904947789597,False
705,2009_001203,17,sheep,26682,28788,0.9268445185493955,True
711,2009_001270,0,background,141164,144189,0.9790205910298289,False
711,2009_001270,8,cat,70022,73047,0.9585883061590483,True
715,2009_001339,0,background,62260,83307,0.7473561645479971,False
715,2009_001339,5,bottle,9380,12143,0.7724615004529358,True
715,2009_001339,9,chair,0,800,0.0,True
715,2009_001339,11,diningtable,28258,39822,0.7096077545075586,True
715,2009_001339,15,person,50560,55609,0.9092053444586308,True
715,2009_001339,16,pottedplant,0,2089,0.0,True
724,2009_001481,0,background,112928,129323,0.8732244071046914,False
724,2009_001481,2,bicycle,13563,29775,0.4555163727959698,True
724,2009_001481,7,car,2436,2437,0.9995896594173164,True
724,2009_001481,15,person,0,182,0.0,True
731,2009_001636,0,background,65214,65516,0.9953904389767385,False
731,2009_001636,13,horse,95386,95688,0.9968439093721261,True
732,2009_001640,0,background,130001,134279,0.9681409602395014,False
732,2009_001640,5,bottle,48913,50240,0.9735867834394905,True
732,2009_001640,11,diningtable,0,1835,0.0,True
732,2009_001640,15,person,0,1116,0.0,True
761,2009_002083,0,background,134074,154849,0.8658370412466339,False
761,2009_002083,9,chair,0,3240,0.0,True
761,2009_002083,16,pottedplant,340,1185,0.2869198312236287,True
761,2009_002083,18,sofa,21256,44406,0.47867405305589333,True
800,2009_002763,0,background,135308,136518,0.9911366999223545,False
800,2009_002763,14,motorbike,41949,43159,0.9719641326258718,True
837,2009_003317,0,background,73431,81882,0.8967905034073422,False
837,2009_003317,9,chair,45863,50487,0.9084120664725573,True
837,2009_003317,11,diningtable,17465,23436,0.745221027479092,True
859,2009_003736,0,background,159893,159948,0.9996561382449296,False
859,2009_003736,15,person,23223,23278,0.9976372540596271,True
860,2009_003757,0,background,93315,93806,0.9947657932328422,False
860,2009_003757,6,bus,64473,64964,0.992441967859122,True
903,2009_004446,0,background,119463,134963,0.8851537087942621,False
903,2009_004446,1,aeroplane,25134,40555,0.619750955492541,True
903,2009_004446,15,person,351,512,0.685546875,True
908,2009_004561,0,background,142195,158922,0.8947471086444923,False
908,2009_004561,2,bicycle,7898,24265,0.3254893880074181,True
908,2009_004561,9,chair,1632,1992,0.8192771084337349,True
926,2009_004980,0,background,135767,135931,0.9987935055285402,False
926,2009_004980,1,aeroplane,25298,25462,0.9935590291414658,True
937,2009_005107,0,background,148616,151536,0.9807306514623588,False
937,2009_005107,12,dog,31284,34204,0.9146298678517133,True
949,2009_005247,0,background,141164,141280,0.9991789354473386,False
949,2009_005247,14,motorbike,14585,16603,0.878455700776968,True
949,2009_005247,15,person,4191,6191,0.6769504118882248,True
966,2010_000285,0,background,178639,178812,0.9990325034114041,False
966,2010_000285,1,aeroplane,5485,5658,0.9694238246730293,True
979,2010_000588,0,background,127959,160080,0.7993440779610195,False
979,2010_000588,5,bottle,0,385,0.0,True
979,2010_000588,9,chair,2601,16156,0.16099282000495171,True
979,2010_000588,18,sofa,6196,46129,0.1343189750482343,True
1039,2010_001852,0,background,89387,89925,0.9940172365860439,False
1039,2010_001852,13,horse,70440,70978,0.9924201865366733,True
1043,2010_001933,0,background,10,148586,6.730109162370614e-05,False
1043,2010_001933,12,dog,28763,29689,0.9688099969685742,True
1043,2010_001933,18,sofa,0,147890,0.0,True
1048,2010_002032,0,background,152091,156931,0.9691584199425225,False
1048,2010_002032,9,chair,8273,11678,0.7084261003596506,True
1048,2010_002032,11,diningtable,7427,10575,0.7023167848699764,True
1048,2010_002032,16,pottedplant,0,2767,0.0,True
1059,2010_002203,0,background,122443,122947,0.9959006726475635,False
1059,2010_002203,6,bus,59128,59632,0.9915481620606386,True
1085,2010_002733,0,background,182939,185223,0.987668918006943,False
1085,2010_002733,16,pottedplant,1325,3609,0.36713771127736217,True
1103,2010_003017,0,background,110278,114665,0.9617407229756246,False
1103,2010_003017,5,bottle,18667,19836,0.9410667473280904,True
1103,2010_003017,9,chair,0,676,0.0,True
1103,2010_003017,15,person,40512,43205,0.937669251244069,True
1103,2010_003017,16,pottedplant,739,2600,0.28423076923076923,True
1122,2010_003380,0,background,72820,81086,0.8980588510963669,False
1122,2010_003380,13,horse,93492,101758,0.9187680575483008,True
1123,2010_003383,0,background,65766,67430,0.9753225567254931,False
1123,2010_003383,10,cow,80939,82603,0.9798554531917727,True
1128,2010_003634,0,background,164531,164668,0.9991680229309884,False
1128,2010_003634,9,chair,20362,20499,0.993316747158398,True
1134,2010_003717,0,background,75926,77455,0.9802595055193338,False
1134,2010_003717,5,bottle,0,575,0.0,True
1134,2010_003717,18,sofa,78308,79262,0.9879639676011204,True
1143,2010_003925,0,background,15094,149731,0.1008074480234554,False
1143,2010_003925,8,cat,21060,21199,0.9934430869380632,True
1143,2010_003925,9,chair,0,134646,0.0,True
1143,2010_003925,12,dog,0,126,0.0,True
1152,2010_004071,0,background,192391,192638,0.9987178023027647,False
1152,2010_004071,3,bird,772,1019,0.7576054955839058,True
1161,2010_004186,0,background,88641,164042,0.5403555187086234,False
1161,2010_004186,7,car,0,75581,0.0,True
1161,2010_004186,15,person,3821,4271,0.8946382580191993,True
1179,2010_004540,0,background,152967,153609,0.9958205573892155,False
1179,2010_004540,8,cat,10146,10788,0.9404894327030033,True
1187,2010_004683,0,background,119200,124890,0.9544399071182641,False
1187,2010_004683,8,cat,0,269,0.0,True
1187,2010_004683,12,dog,10736,11644,0.9220199244245963,True
1187,2010_004683,16,pottedplant,11950,17001,0.7028998294217987,True
1201,2010_004960,0,background,163592,163647,0.9996639107346912,False
1201,2010_004960,3,bird,1410,1465,0.962457337883959,True
1211,2010_005128,0,background,153278,154614,0.9913591265991437,False
1211,2010_005128,8,cat,28375,29711,0.9550334892800646,True
1243,2010_005723,0,background,55079,107741,0.511216714157099,False
1243,2010_005723,9,chair,0,22999,0.0,True
1243,2010_005723,15,person,75983,101684,0.7472463711104992,True
1243,2010_005723,18,sofa,0,3962,0.0,True
1272,2011_000006,0,background,87608,94107,0.9309403126228655,False
1272,2011_000006,9,chair,7984,42294,0.18877382134581738,True
1272,2011_000006,15,person,27075,30415,0.8901857636034851,True
1272,2011_000006,18,sofa,10173,45408,0.22403541226215645,True
1273,2011_000025,0,background,60702,64148,0.9462804763983289,False
1273,2011_000025,6,bus,104871,109897,0.9542662675050274,True
1273,2011_000025,7,car,2100,4976,0.4220257234726688,True
1303,2011_000400,0,background,150667,168641,0.8934185636944753,False
1303,2011_000400,11,diningtable,0,17723,0.0,True
1303,2011_000400,20,tvmonitor,4770,5021,0.9500099581756623,True
1305,2011_000449,0,background,107433,118928,0.9033448809363649,False
1305,2011_000449,12,dog,40015,40285,0.9932977535062678,True
1305,2011_000449,18,sofa,0,11225,0.0,True
1324,2011_000652,0,background,66066,77957,0.8474671934528009,False
1324,2011_000652,14,motorbike,98153,110044,0.8919432227109156,True
1368,2011_001621,0,background,153855,158213,0.9724548551636085,False
1368,2011_001621,9,chair,1092,1363,0.8011738811445341,True
1368,2011_001621,15,person,9596,24730,0.3880307319045693,True
1368,2011_001621,20,tvmonitor,0,11043,0.0,True
1369,2011_001622,0,background,158629,160631,0.9875366523273839,False
1369,2011_001622,16,pottedplant,832,2834,0.29357798165137616,True
1385,2011_001895,0,background,57706,59678,0.9669559971848922,False
1385,2011_001895,15,person,101939,104674,0.9738712574278235,True
1385,2011_001895,18,sofa,13617,17124,0.7951997196916608,True
1390,2011_001928,0,background,76609,78448,0.9765577197634101,False
1390,2011_001928,15,person,40443,41459,0.9754938614052437,True
1390,2011_001928,16,pottedplant,457,595,0.7680672268907563,True
1390,2011_001928,20,tvmonitor,12822,13511,0.9490045148397602,True
1422,2011_002464,0,background,130050,131182,0.9913707673308838,False
1422,2011_002464,3,bird,0,478,0.0,True
1422,2011_002464,17,sheep,44521,46129,0.9651412343644995,True
1442,2011_002851,0,background,161991,162666,0.9958503928294788,False
1442,2011_002851,1,aeroplane,18991,19666,0.9656768026034781,True
1452,2011_003038,0,background,96723,123089,0.7857972686430144,False
1452,2011_003038,5,bottle,101,104,0.9711538461538461,True
1452,2011_003038,9,chair,0,548,0.0,True
1452,2011_003038,15,person,52601,55126,0.9541958422522947,True
1452,2011_003038,16,pottedplant,397,2392,0.16596989966555184,True
1452,2011_003038,18,sofa,0,22419,0.0,True
1460,2011_003216,0,background,57315,62495,0.9171133690695256,False
1460,2011_003216,5,bottle,0,389,0.0,True
1460,2011_003216,8,cat,53818,58609,0.9182548755310618,True
