distortion_type,severity_level,class_id,class_name,is_foreground,total_intersection_pixels,total_union_pixels,mean_per_image_iou,std_per_image_iou,num_images,dataset_iou
gaussian_noise,mild,0,background,False,12105136,13081350,0.9221927732263788,0.1528362189399744,100,0.925373604406273
gaussian_noise,mild,1,aeroplane,True,78310,99880,0.8797816694212897,0.21994501249477624,5,0.7840408490188225
gaussian_noise,mild,2,bicycle,True,28318,77096,0.26898467658653746,0.16778273519041156,5,0.3673082909619176
gaussian_noise,mild,3,bird,True,47076,63786,0.49627217592421485,0.4630098864707573,10,0.7380302887781017
gaussian_noise,mild,4,boat,True,95818,138785,0.698711944949498,0.18685752017603918,5,0.6904060237057319
gaussian_noise,mild,5,bottle,True,80454,89285,0.49606528448682863,0.4753708493725905,9,0.9010920087360699
gaussian_noise,mild,6,bus,True,561055,579044,0.9746012263152403,0.022855419326238302,8,0.9689332762277133
gaussian_noise,mild,7,car,True,204368,290109,0.659117640488191,0.439233541490055,14,0.7044524644185461
gaussian_noise,mild,8,cat,True,250485,280527,0.6489644065953408,0.4548612937177363,10,0.8929087039750184
gaussian_noise,mild,9,chair,True,110076,430246,0.31749032477951883,0.38528045060274807,22,0.25584433091766107
gaussian_noise,mild,10,cow,True,94949,107967,0.5994359676681695,0.47242164289024874,4,0.8794261209443627
gaussian_noise,mild,11,diningtable,True,148000,246002,0.5200813621268806,0.3701041383925552,8,0.6016211250315038
gaussian_noise,mild,12,dog,True,247166,291227,0.5727013430757331,0.46849873457689883,9,0.8487056488581073
gaussian_noise,mild,13,horse,True,275855,302000,0.8289260523488752,0.2936698299223439,5,0.9134271523178807
gaussian_noise,mild,14,motorbike,True,314466,340257,0.7785915466665573,0.327823914237868,8,0.9242014124617568
gaussian_noise,mild,15,person,True,802317,926811,0.6439076612765937,0.4025912370160255,42,0.8656748786969511
gaussian_noise,mild,16,pottedplant,True,81350,129114,0.33160918556987884,0.3448809639787982,15,0.6300633548646932
gaussian_noise,mild,17,sheep,True,135762,157050,0.7159011401859813,0.477378379686909,4,0.864450811843362
gaussian_noise,mild,18,sofa,True,166888,496838,0.31459460835906283,0.3794098121243917,13,0.3359002330739597
gaussian_noise,mild,19,train,True,93891,100050,0.9374635595415498,0.022985586924046317,3,0.9384407796101949
gaussian_noise,mild,20,tvmonitor,True,94748,115424,0.5298433824415795,0.4961955645767722,7,0.8208691433324092
gaussian_noise,medium,0,background,False,12119122,13335117,0.9011292611192423,0.1657334066788994,100,0.908812573597967
gaussian_noise,medium,1,aeroplane,True,78289,101737,0.869223329787334,0.21713135327109126,5,0.7695233789083618
gaussian_noise,medium,2,bicycle,True,28133,77708,0.22313696424280882,0.18511701041159492,6,0.36203479693210483
gaussian_noise,medium,3,bird,True,44361,53437,0.34489177022791645,0.47681188622430143,8,0.8301551359544884
gaussian_noise,medium,4,boat,True,86191,151354,0.5958330303178458,0.30146723145614307,5,0.569466284340024
gaussian_noise,medium,5,bottle,True,63175,88870,0.28532305985369655,0.40862617724689926,9,0.7108698098345898
gaussian_noise,medium,6,bus,True,546797,581039,0.9532270986940536,0.0613955343667373,8,0.9410676391774047
gaussian_noise,medium,7,car,True,199265,296028,0.5985250412349208,0.42749134789259574,13,0.6731288932128042
gaussian_noise,medium,8,cat,True,223292,291268,0.6112591874173067,0.37195653757301156,10,0.7666204320419682
gaussian_noise,medium,9,chair,True,61928,410222,0.24350732757567944,0.31526067692554327,20,0.15096216195133366
gaussian_noise,medium,10,cow,True,95358,107349,0.7027357008906997,0.47010920390916344,4,0.8882989128915966
gaussian_noise,medium,11,diningtable,True,133219,215913,0.3973601599310997,0.42074500719889313,8,0.617003144785168
gaussian_noise,medium,12,dog,True,234548,292268,0.43183333927627926,0.49550881836271676,11,0.8025100250455062
gaussian_noise,medium,13,horse,True,267091,298919,0.7678208395916081,0.40046782052071783,5,0.8935229945236001
gaussian_noise,medium,14,motorbike,True,309988,362976,0.7551921135523986,0.3408415931876501,7,0.8540178965000441
gaussian_noise,medium,15,person,True,781294,957916,0.5756302735381279,0.40421548681899183,44,0.8156184884687175
gaussian_noise,medium,16,pottedplant,True,23267,123495,0.10989270146452054,0.22144422128586674,14,0.1884043888416535
gaussian_noise,medium,17,sheep,True,135660,159817,0.7139234485133104,0.47754796893935886,4,0.8488458674609084
gaussian_noise,medium,18,sofa,True,168590,455344,0.3918099303241126,0.3961367863904082,11,0.37024754910573104
gaussian_noise,medium,19,train,True,92756,100915,0.9155184695820692,0.028224935535499242,3,0.9191497795174156
gaussian_noise,medium,20,tvmonitor,True,94784,110536,0.5809350546078719,0.45196859258628697,6,0.8574943909676486
gaussian_noise,severe,0,background,False,12134339,13909865,0.8633153946160402,0.1799751271869452,100,0.8723549078298029
gaussian_noise,severe,1,aeroplane,True,75478,97405,0.8564999341264959,0.20194632183610764,5,0.7748883527539654
gaussian_noise,severe,2,bicycle,True,25438,71463,0.30639750683361067,0.10662553264711104,4,0.35596042707415027
gaussian_noise,severe,3,bird,True,11098,50422,0.2559968352622044,0.40461829947820943,7,0.22010233628178177
gaussian_noise,severe,4,boat,True,37314,129884,0.18419569415493173,0.33409753984041074,5,0.2872871177358258
gaussian_noise,severe,5,bottle,True,46572,88257,0.1834709772871691,0.3646399593600655,9,0.5276861891974575
gaussian_noise,severe,6,bus,True,535555,591942,0.8115326063321335,0.31014460614920913,9,0.9047423565146585
gaussian_noise,severe,7,car,True,190576,297621,0.4125393417673473,0.4481950114699065,16,0.6403311594275941
gaussian_noise,severe,8,cat,True,88510,270040,0.3396698033806016,0.3886875307502585,8,0.32776625685083693
gaussian_noise,severe,9,chair,True,36164,391014,0.2132690052599356,0.3040581776358564,16,0.09248773701197399
gaussian_noise,severe,10,cow,True,86894,164805,0.3728904980499075,0.38220601990502634,5,0.5272534207093231
gaussian_noise,severe,11,diningtable,True,113009,210788,0.26420083305315917,0.31434078512028174,7,0.5361263449532231
gaussian_noise,severe,12,dog,True,166960,295614,0.23108979212657618,0.3635903044469545,12,0.5647905714884951
gaussian_noise,severe,13,horse,True,213329,303333,0.43288086009379917,0.4467584723003703,7,0.7032831904210883
gaussian_noise,severe,14,motorbike,True,276341,350084,0.6524354863205273,0.33187881412782294,7,0.7893562687812068
gaussian_noise,severe,15,person,True,777952,1251433,0.41247708466974947,0.40803203357724427,56,0.6216489416532887
gaussian_noise,severe,16,pottedplant,True,3934,104790,0.02911592142825037,0.0686678345863362,11,0.03754175016700067
gaussian_noise,severe,17,sheep,True,67726,154722,0.3677585606531086,0.3586792682542522,4,0.43772702007471465
gaussian_noise,severe,18,sofa,True,1911,374650,0.008937985541116246,0.02583220465919823,9,0.005100760709995996
gaussian_noise,severe,19,train,True,69216,102057,0.6077587768821949,0.5098653795078002,3,0.678209236015168
gaussian_noise,severe,20,tvmonitor,True,85983,104848,0.5198223933746691,0.47563442749448803,5,0.8200728673889821
jpeg_compression,mild,0,background,False,12126274,13068410,0.9242541267766669,0.15711212063858454,100,0.9279073735825552
jpeg_compression,mild,1,aeroplane,True,82775,100157,0.9025066460990674,0.1737985416590869,5,0.8264524696226924
jpeg_compression,mild,2,bicycle,True,28299,77254,0.2690674072775937,0.1685631060008046,5,0.3663111295208015
jpeg_compression,mild,3,bird,True,47293,52209,0.5670212224488203,0.4349176149441587,9,0.90583998927388
jpeg_compression,mild,4,boat,True,99626,135306,0.7180447716558425,0.17057796754566817,5,0.7363014204839401
jpeg_compression,mild,5,bottle,True,79621,89170,0.4451578793637755,0.47477972492568676,10,0.892912414489178
jpeg_compression,mild,6,bus,True,563197,582711,0.9729197726546011,0.022552421577814556,8,0.9665117013408019
jpeg_compression,mild,7,car,True,202461,288882,0.6336401825571351,0.4451665541279476,14,0.700843250877521
jpeg_compression,mild,8,cat,True,257804,277354,0.7456151657142651,0.39801219590470394,10,0.929512464215407
jpeg_compression,mild,9,chair,True,115220,439998,0.2524074492530613,0.3596809602938244,25,0.261864826658303
jpeg_compression,mild,10,cow,True,93355,108982,0.48780560818756324,0.5608948293940783,4,0.8566093483327522
jpeg_compression,mild,11,diningtable,True,149586,219390,0.5128845485866012,0.3408386311848522,8,0.6818268836318884
jpeg_compression,mild,12,dog,True,240121,283206,0.49324999885779236,0.4828147258930243,10,0.8478669237233675
jpeg_compression,mild,13,horse,True,273191,304709,0.8178676529610918,0.31083997621488896,5,0.8965636065885813
jpeg_compression,mild,14,motorbike,True,312995,344590,0.8502969602848695,0.1644478199772774,7,0.9083113265039612
jpeg_compression,mild,15,person,True,823513,942765,0.675863182875861,0.3870603772282753,40,0.8735082443663055
jpeg_compression,mild,16,pottedplant,True,85259,127814,0.2919171279234542,0.332390457884262,17,0.6670552521632998
jpeg_compression,mild,17,sheep,True,135629,157580,0.7130636852749126,0.47544717853028046,4,0.8606993273258028
jpeg_compression,mild,18,sofa,True,172588,470266,0.34694871127290766,0.37676697475656457,12,0.36700080380040234
jpeg_compression,mild,19,train,True,92878,100325,0.9254139400356318,0.03423518984718806,3,0.925771243458759
jpeg_compression,mild,20,tvmonitor,True,93710,112863,0.4554674031736107,0.487567489257022,8,0.8302986807013814
jpeg_compression,medium,0,background,False,12066262,13233973,0.9036388860442834,0.16650237638621893,100,0.9117641391591172
jpeg_compression,medium,1,aeroplane,True,77833,97117,0.8811847627065269,0.20368193145678043,5,0.801435382064932
jpeg_compression,medium,2,bicycle,True,28198,76741,0.27161226874728717,0.17520167689441615,5,0.36744373933099644
jpeg_compression,medium,3,bird,True,27341,53003,0.2732057808966842,0.3415360091484251,8,0.5158387261098428
jpeg_compression,medium,4,boat,True,73216,138765,0.452109219497164,0.32389292822098387,5,0.5276258422512882
jpeg_compression,medium,5,bottle,True,62941,89512,0.2716349546760404,0.38439163428445217,9,0.7031571185986236
jpeg_compression,medium,6,bus,True,560049,585922,0.9650717194537233,0.031571174926796244,8,0.9558422452135267
jpeg_compression,medium,7,car,True,194880,290108,0.632798271049452,0.44225805471149454,13,0.6717498310973844
jpeg_compression,medium,8,cat,True,254070,330807,0.6283770221297998,0.35866671525732163,10,0.7680309062383807
jpeg_compression,medium,9,chair,True,102356,428675,0.27479390510189383,0.34596476698490364,22,0.23877296320055985
jpeg_compression,medium,10,cow,True,95040,112449,0.6041775577491244,0.43498839562448166,4,0.8451831496945282
jpeg_compression,medium,11,diningtable,True,146114,226102,0.4186603987792785,0.38567467561637436,9,0.646230462357697
