distortion_type,severity_level,class_name,total_true_positives,total_false_positives,total_false_negatives,total_predictions,total_ground_truth_objects,precision,recall,f1_score
low_light,severe,bird,6,3,5,9,11,0.6666666666666666,0.5454545454545454,0.6
low_light,severe,boat,4,1,13,5,17,0.8,0.23529411764705882,0.3636363636363636
low_light,severe,bottle,4,1,7,5,11,0.8,0.36363636363636365,0.5000000000000001
low_light,severe,bus,11,2,6,13,17,0.8461538461538461,0.6470588235294118,0.7333333333333334
low_light,severe,car,13,7,5,20,18,0.65,0.7222222222222222,0.6842105263157895
low_light,severe,cat,8,1,0,9,8,0.8888888888888888,1.0,0.9411764705882353
low_light,severe,chair,13,11,8,24,21,0.5416666666666666,0.6190476190476191,0.5777777777777778
low_light,severe,cow,6,4,1,10,7,0.6,0.8571428571428571,0.7058823529411764
low_light,severe,diningtable,4,2,2,6,6,0.6666666666666666,0.6666666666666666,0.6666666666666666
low_light,severe,dog,5,4,3,9,8,0.5555555555555556,0.625,0.5882352941176471
low_light,severe,horse,6,1,0,7,6,0.8571428571428571,1.0,0.923076923076923
low_light,severe,motorbike,7,0,3,7,10,1.0,0.7,0.8235294117647058
low_light,severe,person,41,22,5,63,46,0.6507936507936508,0.8913043478260869,0.7522935779816514
low_light,severe,pottedplant,9,4,15,13,24,0.6923076923076923,0.375,0.48648648648648646
low_light,severe,sheep,9,1,0,10,9,0.9,1.0,0.9473684210526316
low_light,severe,sofa,4,6,2,10,6,0.4,0.6666666666666666,0.5
low_light,severe,train,3,0,1,3,4,1.0,0.75,0.8571428571428571
low_light,severe,tvmonitor,3,4,0,7,3,0.42857142857142855,1.0,0.6
