dataset_index,image_id,distortion_type,severity_level,parameter_value,snr_db,mean_iou_all_classes,mean_iou_foreground,num_evaluated_classes,num_evaluated_foreground_classes
88,2007_002895,gaussian_noise,severe,50.0,9.931906971637837,0.9763745512754807,0.9540737893927748,2,1
88,2007_002895,jpeg_compression,mild,50.0,24.502196175048265,0.9869245756252264,0.974581166955517,2,1
88,2007_002895,jpeg_compression,medium,20.0,21.610210270589654,0.9873350039844047,0.9753798807462973,2,1
88,2007_002895,jpeg_compression,severe,5.0,17.79739800291545,0.9718170760635957,0.9452133794694348,2,1
88,2007_002895,low_light,mild,0.6,7.9239748430724335,0.9855594242489465,0.9719284752932128,2,1
88,2007_002895,low_light,medium,0.35,3.7093689597583794,0.9843667184247322,0.9696095402962108,2,1
88,2007_002895,low_light,severe,0.15,1.3870771014278818,0.9904094272857573,0.9813569094753027,2,1
99,2007_003191,gaussian_noise,mild,10.0,22.318692381321892,0.9929109422556146,0.9916478214985678,2,1
99,2007_003191,gaussian_noise,medium,25.0,14.522058195395946,0.9915731314300511,0.9900724604932134,2,1
99,2007_003191,gaussian_noise,severe,50.0,8.902644599899238,0.9914457831701051,0.9899224222339383,2,1
99,2007_003191,jpeg_compression,mild,50.0,27.926754187313662,0.992071043197507,0.990662088077595,2,1
99,2007_003191,jpeg_compression,medium,20.0,24.9295627319646,0.9917916298088609,0.9903352552425971,2,1
99,2007_003191,jpeg_compression,severe,5.0,18.677966926383473,0.9814206333775772,0.9780055552200954,2,1
99,2007_003191,low_light,mild,0.6,7.899995056330299,0.6599739370161889,0.4953611663353214,3,2
99,2007_003191,low_light,medium,0.35,3.698218918717087,0.99249080180777,0.9911544431217131,2,1
99,2007_003191,low_light,severe,0.15,1.3784405733369836,0.9928343839136294,0.9915574919720794,2,1
127,2007_004166,gaussian_noise,mild,10.0,21.186902645623725,0.4546052853813285,0.39649473074345304,8,7
127,2007_004166,gaussian_noise,medium,25.0,13.507431555745665,0.35786457619897893,0.2937857382849578,8,7
127,2007_004166,gaussian_noise,severe,50.0,8.018733546614257,0.23478320118323628,0.1460243915466547,7,6
127,2007_004166,jpeg_compression,mild,50.0,19.562702529629362,0.4767501634374208,0.42351332488082477,8,7
127,2007_004166,jpeg_compression,medium,20.0,16.501831667903954,0.4155308312265389,0.3578672077914399,8,7
127,2007_004166,jpeg_compression,severe,5.0,12.779270997582103,0.2708790683520362,0.17424272404084476,6,5
127,2007_004166,low_light,mild,0.6,7.894933360479781,0.5000463167634277,0.44393293125159594,8,7
127,2007_004166,low_light,medium,0.35,3.6950268823317622,0.49073638198865766,0.437215764514626,8,7
127,2007_004166,low_light,severe,0.15,1.3758359851407918,0.46611546887485,0.4034612261560236,7,6
160,2007_005262,gaussian_noise,mild,10.0,22.499437840067863,0.7432765950110451,0.6587973171734518,4,3
160,2007_005262,gaussian_noise,medium,25.0,14.673178550424401,0.7386612815143944,0.6530021088953744,4,3
160,2007_005262,gaussian_noise,severe,50.0,9.019962506369827,0.6969827184763706,0.6038952661161195,4,3
160,2007_005262,jpeg_compression,mild,50.0,21.47173427689236,0.7437314872992433,0.6594371398880251,4,3
160,2007_005262,jpeg_compression,medium,20.0,18.416783860879605,0.7368367434066636,0.6504120614655239,4,3
160,2007_005262,jpeg_compression,severe,5.0,15.263443201342042,0.3681942532051626,0.22789608361804717,5,4
160,2007_005262,low_light,mild,0.6,7.901189103369771,0.7398496120067847,0.6546855972620963,4,3
160,2007_005262,low_light,medium,0.35,3.6986417688211666,0.7361383123577638,0.650076455071061,4,3
160,2007_005262,low_light,severe,0.15,1.3788135731020712,0.9574654301287883,0.9410864872580607,3,2
165,2007_005360,gaussian_noise,mild,10.0,24.672238307297036,0.47866072756666,0.312737584770246,4,3
165,2007_005360,gaussian_noise,medium,25.0,17.03728774464312,0.6350042863659929,0.465818289434744,3,2
165,2007_005360,gaussian_noise,severe,50.0,11.633679824543714,0.928316323892614,0.8972018682778421,2,1
165,2007_005360,jpeg_compression,mild,50.0,23.0206499633182,0.6305702407877853,0.460362026067703,3,2
165,2007_005360,jpeg_compression,medium,20.0,19.661595798742816,0.9477052157488282,0.9236005536520614,2,1
165,2007_005360,jpeg_compression,severe,5.0,15.971848689239248,0.9034425657484111,0.8580724148094406,2,1
165,2007_005360,low_light,mild,0.6,7.912621483795003,0.6430536243254972,0.4741624723860712,3,2
165,2007_005360,low_light,medium,0.35,3.707986287786511,0.6408152558599783,0.4717060618481578,3,2
165,2007_005360,low_light,severe,0.15,1.3856447386406903,0.9362650075744992,0.9075966728608088,2,1
167,2007_005430,gaussian_noise,mild,10.0,22.405615340731458,0.543016788530562,0.40084919625738236,4,3
167,2007_005430,gaussian_noise,medium,25.0,14.711473645844821,0.5402396460678829,0.3974382981055555,4,3
167,2007_005430,gaussian_noise,severe,50.0,9.204030644330754,0.5235327344055551,0.3694768357469796,4,3
167,2007_005430,jpeg_compression,mild,50.0,18.429237638379387,0.5427190533635422,0.40064360821013656,4,3
167,2007_005430,jpeg_compression,medium,20.0,15.188998550247568,0.5372172441219963,0.3942709422790041,4,3
167,2007_005430,jpeg_compression,severe,5.0,12.630888849861066,0.45983850269386617,0.28655379065572817,4,3
167,2007_005430,low_light,mild,0.6,7.903347049904021,0.5401322267028353,0.39712882502055596,4,3
167,2007_005430,low_light,medium,0.35,3.7005515491801884,0.5408366415298264,0.39786939144517475,4,3
167,2007_005430,low_light,severe,0.15,1.3800736761606636,0.5412448394470848,0.3978744438151349,4,3
187,2007_006281,gaussian_noise,mild,10.0,24.826208228209854,0.7985727925628993,0.684290467235643,2,1
