dataset_index,image_id,distortion_type,severity_level,parameter_value,num_ground_truth_objects,num_predictions,true_positives,false_positives,false_negatives,precision,recall,f1_score,mean_matched_iou
214,2007_007021,jpeg_compression,medium,20.0,5,18,5,13,0,0.2777777777777778,1.0,0.4347826086956522,0.8391868721061014
214,2007_007021,jpeg_compression,severe,5.0,5,0,0,0,5,0.0,0.0,0.0,0.0
214,2007_007021,low_light,mild,0.6,5,26,5,21,0,0.19230769230769232,1.0,0.32258064516129037,0.8300003271876711
214,2007_007021,low_light,medium,0.35,5,25,5,20,0,0.2,1.0,0.33333333333333337,0.8273914586120416
214,2007_007021,low_light,severe,0.15,5,17,5,12,0,0.29411764705882354,1.0,0.45454545454545453,0.8435118283892127
215,2007_007048,gaussian_noise,mild,10.0,7,8,5,3,2,0.625,0.7142857142857143,0.6666666666666666,0.8969627124896091
215,2007_007048,gaussian_noise,medium,25.0,7,5,4,1,3,0.8,0.5714285714285714,0.6666666666666666,0.9355822133458328
215,2007_007048,gaussian_noise,severe,50.0,7,1,0,1,7,0.0,0.0,0.0,0.0
215,2007_007048,jpeg_compression,mild,50.0,7,7,5,2,2,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.9097407682948748
215,2007_007048,jpeg_compression,medium,20.0,7,7,3,4,4,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.8906340230409068
215,2007_007048,jpeg_compression,severe,5.0,7,1,0,1,7,0.0,0.0,0.0,0.0
215,2007_007048,low_light,mild,0.6,7,7,5,2,2,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.9039918141760076
215,2007_007048,low_light,medium,0.35,7,8,5,3,2,0.625,0.7142857142857143,0.6666666666666666,0.9038891662223121
215,2007_007048,low_light,severe,0.15,7,8,5,3,2,0.625,0.7142857142857143,0.6666666666666666,0.8863637808185791
220,2007_007355,gaussian_noise,mild,10.0,3,5,3,2,0,0.6,1.0,0.7499999999999999,0.6896855025821038
