distortion_type,severity_level,mean_iou_all_classes,std_iou_all_classes,mean_iou_foreground,std_iou_foreground
gaussian_noise,mild,0.7379069113197021,0.2258375917190691,0.6594702004934948,0.28531805303056745
gaussian_noise,medium,0.6905165436493378,0.24294407786614983,0.592456232333739,0.3177312029965413
gaussian_noise,severe,0.5765734898573113,0.2551937574345918,0.4319661649345219,0.3421100409951712
jpeg_compression,mild,0.7375067927958503,0.2302014021190683,0.6597530629298415,0.28342577003534275
jpeg_compression,medium,0.7057048034427312,0.23009498693817498,0.6121218161010535,0.29712753429412386
jpeg_compression,severe,0.36496166594614116,0.23825485296516935,0.17675231080608955,0.2716095563701919
low_light,mild,0.7686596394431419,0.22008313692270512,0.7030940317068135,0.2687352808079732
low_light,medium,0.7488870069467889,0.2249454767785693,0.6759309200219339,0.2812372327420989
low_light,severe,0.7090698902547891,0.23122450436945177,0.6134201077747137,0.30610453666029996
