distortion_type,severity_level,mean_snr_db,std_snr_db,total_true_positives,total_false_positives,total_false_negatives,total_matched_iou,mean_precision_per_image,mean_recall_per_image,mean_f1_per_image,mean_num_predictions,global_precision,global_recall,global_f1,global_mean_matched_iou
gaussian_noise,mild,22.263024269897087,1.7091153733794489,181,98,64,157.11545434907902,0.7389285714285714,0.8282857142857142,0.7553832833832834,2.79,0.6487455197132617,0.7387755102040816,0.6908396946564885,0.8680411842490553
gaussian_noise,medium,14.562443216358506,1.6925132398444138,124,61,121,108.60493659911066,0.6352142857142857,0.6107857142857143,0.6009044223750106,1.85,0.6702702702702703,0.5061224489795918,0.5767441860465116,0.8758462628960537
gaussian_noise,severe,9.055607135793828,1.7083522532643023,52,35,193,43.32625617339439,0.3376190476190476,0.24925,0.2648354978354978,0.87,0.5977011494252874,0.21224489795918366,0.3132530120481928,0.8331972341037382
jpeg_compression,mild,24.36518570503074,3.8016954864218624,174,102,71,153.37045151010102,0.7310396825396824,0.8033690476190476,0.7389306543130073,2.76,0.6304347826086957,0.710204081632653,0.6679462571976967,0.8814393764948335
jpeg_compression,medium,21.57804171171805,3.7682486408808313,138,76,107,117.8797639488009,0.6147142857142857,0.6210357142857142,0.6002358197358197,2.14,0.6448598130841121,0.563265306122449,0.6013071895424837,0.8542011880347892
jpeg_compression,severe,17.24017809576982,3.0780341432388894,21,23,224,15.716939004828737,0.1315,0.10045238095238095,0.10455555555555555,0.44,0.4772727272727273,0.08571428571428572,0.14532871972318337,0.7484256668966065
low_light,mild,7.90108585647558,0.012478789934184454,199,102,46,172.77499077895675,0.7873820346320346,0.8912857142857143,0.8092514364720248,3.01,0.6611295681063123,0.8122448979591836,0.728937728937729,0.8682160340651093
low_light,medium,3.698882688787455,0.008315563977852715,191,99,54,165.9192163709804,0.78076966873706,0.858202380952381,0.7919882274588157,2.9,0.6586206896551724,0.7795918367346939,0.7140186915887851,0.8686869967067037
low_light,severe,1.378792866531965,0.006462826069568811,167,75,78,147.04017833979157,0.7491190476190477,0.8052857142857143,0.7567614607614608,2.42,0.6900826446280992,0.6816326530612244,0.6858316221765914,0.8804801098191112
