dataset_index,distortion_type,severity_level,parameter_value,class_id,iou
127,gaussian_noise,medium,25.0,12,0.0
127,gaussian_noise,medium,25.0,16,0.0
127,gaussian_noise,medium,25.0,18,0.9850618342108486
127,gaussian_noise,medium,25.0,20,0.8766630708378281
127,gaussian_noise,severe,50.0,0,0.7673360590027257
127,gaussian_noise,severe,50.0,9,0.017462422634836428
127,gaussian_noise,severe,50.0,11,0.0
127,gaussian_noise,severe,50.0,12,0.0
127,gaussian_noise,severe,50.0,15,0.0
127,gaussian_noise,severe,50.0,18,0.0
127,gaussian_noise,severe,50.0,20,0.8586839266450917
127,jpeg_compression,mild,50.0,0,0.8494080333335925
127,jpeg_compression,mild,50.0,8,0.0
127,jpeg_compression,mild,50.0,9,0.7067610062893082
127,jpeg_compression,mild,50.0,11,0.3945083313776109
127,jpeg_compression,mild,50.0,12,0.0
127,jpeg_compression,mild,50.0,16,0.0
127,jpeg_compression,mild,50.0,18,0.9934929404542664
127,jpeg_compression,mild,50.0,20,0.8698309960445882
127,jpeg_compression,medium,20.0,0,0.8191761952722317
127,jpeg_compression,medium,20.0,8,0.0
127,jpeg_compression,medium,20.0,9,0.5113888328965934
127,jpeg_compression,medium,20.0,11,0.17489189697311525
127,jpeg_compression,medium,20.0,12,0.0
127,jpeg_compression,medium,20.0,16,0.0
127,jpeg_compression,medium,20.0,18,0.9885128458498024
127,jpeg_compression,medium,20.0,20,0.8302768788205681
127,jpeg_compression,severe,5.0,0,0.7540607899079933
127,jpeg_compression,severe,5.0,9,0.0
127,jpeg_compression,severe,5.0,11,0.007495533185165817
127,jpeg_compression,severe,5.0,12,0.0
127,jpeg_compression,severe,5.0,18,0.0
127,jpeg_compression,severe,5.0,20,0.863718087019058
127,low_light,mild,0.6,0,0.8928400153462498
127,low_light,mild,0.6,8,0.0
127,low_light,mild,0.6,9,0.685694983955413
127,low_light,mild,0.6,11,0.5318330989217065
127,low_light,mild,0.6,12,0.0
127,low_light,mild,0.6,16,0.0
127,low_light,mild,0.6,18,0.989247311827957
127,low_light,mild,0.6,20,0.9007551240560949
127,low_light,medium,0.35,0,0.8653807043068789
127,low_light,medium,0.35,8,0.0
127,low_light,medium,0.35,9,0.7111667859699355
127,low_light,medium,0.35,11,0.4157924316223305
127,low_light,medium,0.35,12,0.07366296670030273
127,low_light,medium,0.35,16,0.0
127,low_light,medium,0.35,18,0.9530201342281879
127,low_light,medium,0.35,20,0.9068680330816253
127,low_light,severe,0.15,0,0.8420409251878084
127,low_light,severe,0.15,9,0.6455923414439569
127,low_light,severe,0.15,11,0.11499812171299775
127,low_light,severe,0.15,12,0.0
127,low_light,severe,0.15,16,0.0
127,low_light,severe,0.15,18,0.8198316942106864
127,low_light,severe,0.15,20,0.8403451995685005
160,gaussian_noise,mild,10.0,0,0.9967144285238254
160,gaussian_noise,mild,10.0,6,0.991549067971372
160,gaussian_noise,mild,10.0,7,0.9848428835489834
160,gaussian_noise,mild,10.0,15,0.0
160,gaussian_noise,medium,25.0,0,0.9956387993714545
160,gaussian_noise,medium,25.0,6,0.9905450725281829
160,gaussian_noise,medium,25.0,7,0.9684612541579402
160,gaussian_noise,medium,25.0,15,0.0
160,gaussian_noise,severe,50.0,0,0.9762450755571236
160,gaussian_noise,severe,50.0,6,0.8785613255203071
160,gaussian_noise,severe,50.0,7,0.9331244728280516
160,gaussian_noise,severe,50.0,15,0.0
160,jpeg_compression,mild,50.0,0,0.9966145295328984
160,jpeg_compression,mild,50.0,6,0.9898949070331448
160,jpeg_compression,mild,50.0,7,0.9884165126309303
160,jpeg_compression,mild,50.0,15,0.0
160,jpeg_compression,medium,20.0,0,0.9961107892300828
160,jpeg_compression,medium,20.0,6,0.9896136437116069
160,jpeg_compression,medium,20.0,7,0.9616225406849648
160,jpeg_compression,medium,20.0,15,0.0
160,jpeg_compression,severe,5.0,0,0.9293869315536241
160,jpeg_compression,severe,5.0,6,0.8479983825313384
160,jpeg_compression,severe,5.0,7,0.06358595194085027
160,jpeg_compression,severe,5.0,15,0.0
160,jpeg_compression,severe,5.0,19,0.0
160,low_light,mild,0.6,0,0.9953416562408497
160,low_light,mild,0.6,6,0.9845127375657097
160,low_light,mild,0.6,7,0.9795440542205792
160,low_light,mild,0.6,15,0.0
160,low_light,medium,0.35,0,0.9943238842178724
160,low_light,medium,0.35,6,0.9791346542660736
160,low_light,medium,0.35,7,0.9710947109471094
160,low_light,medium,0.35,15,0.0
160,low_light,severe,0.15,0,0.9902233158702439
160,low_light,severe,0.15,6,0.9687019813991103
160,low_light,severe,0.15,7,0.9134709931170109
165,gaussian_noise,mild,10.0,0,0.9764301559559021
165,gaussian_noise,mild,10.0,7,0.0
165,gaussian_noise,mild,10.0,15,0.0
165,gaussian_noise,mild,10.0,19,0.938212754310738
165,gaussian_noise,medium,25.0,0,0.9733762802284909
165,gaussian_noise,medium,25.0,15,0.0
165,gaussian_noise,medium,25.0,19,0.931636578869488
165,gaussian_noise,severe,50.0,0,0.9594307795073859
165,gaussian_noise,severe,50.0,19,0.8972018682778421
165,jpeg_compression,mild,50.0,0,0.9709866702279499
165,jpeg_compression,mild,50.0,7,0.0
165,jpeg_compression,mild,50.0,19,0.920724052135406
165,jpeg_compression,medium,20.0,0,0.9718098778455948
165,jpeg_compression,medium,20.0,19,0.9236005536520614
165,jpeg_compression,severe,5.0,0,0.9488127166873814
165,jpeg_compression,severe,5.0,19,0.8580724148094406
165,low_light,mild,0.6,0,0.9808359282043493
165,low_light,mild,0.6,15,0.0
165,low_light,mild,0.6,19,0.9483249447721424
165,low_light,medium,0.35,0,0.9790336438836195
165,low_light,medium,0.35,15,0.0
165,low_light,medium,0.35,19,0.9434121236963156
165,low_light,severe,0.15,0,0.9649333422881896
165,low_light,severe,0.15,19,0.9075966728608088
167,gaussian_noise,mild,10.0,0,0.9695195653501008
167,gaussian_noise,mild,10.0,2,0.23075731763977078
167,gaussian_noise,mild,10.0,5,0.0
167,gaussian_noise,mild,10.0,15,0.9717902711323764
167,gaussian_noise,medium,25.0,0,0.9686436899548649
167,gaussian_noise,medium,25.0,2,0.2290391676866585
167,gaussian_noise,medium,25.0,5,0.0
167,gaussian_noise,medium,25.0,15,0.9632757266300078
167,gaussian_noise,severe,50.0,0,0.9857004303812814
167,gaussian_noise,severe,50.0,2,0.16924519456165027
167,gaussian_noise,severe,50.0,5,0.0
167,gaussian_noise,severe,50.0,15,0.9391853126792886
167,jpeg_compression,mild,50.0,0,0.9689453888237592
167,jpeg_compression,mild,50.0,2,0.2294510160752199
167,jpeg_compression,mild,50.0,5,0.0
167,jpeg_compression,mild,50.0,15,0.9724798085551899
167,jpeg_compression,medium,20.0,0,0.9660561496509732
167,jpeg_compression,medium,20.0,2,0.2213805916821495
167,jpeg_compression,medium,20.0,5,0.0
167,jpeg_compression,medium,20.0,15,0.9614322351548629
167,jpeg_compression,severe,5.0,0,0.9796926388082802
167,jpeg_compression,severe,5.0,2,0.0
167,jpeg_compression,severe,5.0,5,0.0
167,jpeg_compression,severe,5.0,15,0.8596613719671845
167,low_light,mild,0.6,0,0.9691424317496735
167,low_light,mild,0.6,2,0.23620689655172414
167,low_light,mild,0.6,5,0.0
167,low_light,mild,0.6,15,0.9551795785099436
167,low_light,medium,0.35,0,0.9697383917837812
167,low_light,medium,0.35,2,0.24187318957193435
167,low_light,medium,0.35,5,0.0
167,low_light,medium,0.35,15,0.9517349847635899
167,low_light,severe,0.15,0,0.9713560263429343
167,low_light,severe,0.15,2,0.2599126637554585
167,low_light,severe,0.15,5,0.0
167,low_light,severe,0.15,15,0.9337106676899463
187,gaussian_noise,mild,10.0,0,0.9128551178901555
187,gaussian_noise,mild,10.0,4,0.684290467235643
187,gaussian_noise,medium,25.0,0,0.9449715370018975
187,gaussian_noise,medium,25.0,4,0.7994826642789633
187,gaussian_noise,severe,50.0,0,0.9406458281595038
187,gaussian_noise,severe,50.0,4,0.7703474783150678
187,jpeg_compression,mild,50.0,0,0.9426541101797233
187,jpeg_compression,mild,50.0,4,0.802175309993574
187,jpeg_compression,medium,20.0,0,0.9226562762419804
187,jpeg_compression,medium,20.0,4,0.7212888544591847
187,jpeg_compression,severe,5.0,0,0.9357538337639677
187,jpeg_compression,severe,5.0,4,0.755902901728798
187,low_light,mild,0.6,0,0.9576693782036996
187,low_light,mild,0.6,4,0.8522749368073109
187,low_light,medium,0.35,0,0.9696230396590041
187,low_light,medium,0.35,4,0.892593327053691
187,low_light,severe,0.15,0,0.9035010013865352
187,low_light,severe,0.15,4,0.603340457531861
189,gaussian_noise,mild,10.0,0,0.7620111329286088
189,gaussian_noise,mild,10.0,2,0.3521053656004671
189,gaussian_noise,mild,10.0,6,0.9242767247333282
189,gaussian_noise,mild,10.0,7,0.0
189,gaussian_noise,mild,10.0,15,0.8674418604651163
189,gaussian_noise,medium,25.0,0,0.6385447513144377
189,gaussian_noise,medium,25.0,2,0.35123886323730247
189,gaussian_noise,medium,25.0,6,0.8052066616054354
189,gaussian_noise,medium,25.0,7,0.0
189,gaussian_noise,medium,25.0,15,0.7458417961244991
189,gaussian_noise,severe,50.0,0,0.6106477043480749
189,gaussian_noise,severe,50.0,2,0.33256051824070915
189,gaussian_noise,severe,50.0,6,0.7796173833153095
189,gaussian_noise,severe,50.0,7,0.0
189,gaussian_noise,severe,50.0,15,0.7508947745168217
189,jpeg_compression,mild,50.0,0,0.793757177551443
189,jpeg_compression,mild,50.0,2,0.34911838790931987
189,jpeg_compression,mild,50.0,6,0.9441936570576063
189,jpeg_compression,mild,50.0,7,0.0
189,jpeg_compression,mild,50.0,15,0.8788946249620407
189,jpeg_compression,medium,20.0,0,0.7659263855179839
189,jpeg_compression,medium,20.0,2,0.33982843137254903
189,jpeg_compression,medium,20.0,6,0.9267421829135669
189,jpeg_compression,medium,20.0,15,0.8710435883523241
189,jpeg_compression,severe,5.0,0,0.28541285452881976
189,jpeg_compression,severe,5.0,2,0.0
189,jpeg_compression,severe,5.0,6,0.0
189,jpeg_compression,severe,5.0,8,0.0
189,jpeg_compression,severe,5.0,15,0.0
189,low_light,mild,0.6,0,0.7739948297673396
189,low_light,mild,0.6,2,0.3568041101304176
189,low_light,mild,0.6,6,0.9360528793497684
189,low_light,mild,0.6,15,0.9085144369882411
189,low_light,medium,0.35,0,0.749666850269185
189,low_light,medium,0.35,2,0.35371436044990845
189,low_light,medium,0.35,6,0.9166522333198622
189,low_light,medium,0.35,15,0.8981927710843374
189,low_light,severe,0.15,0,0.6813646499666325
189,low_light,severe,0.15,2,0.34301618785590887
189,low_light,severe,0.15,6,0.8527479924989181
189,low_light,severe,0.15,15,0.8184227965540093
195,gaussian_noise,mild,10.0,0,0.9970985573063602
195,gaussian_noise,mild,10.0,3,0.9065420560747663
195,gaussian_noise,mild,10.0,4,0.9500842459983151
195,gaussian_noise,mild,10.0,15,0.9904458598726115
195,gaussian_noise,medium,25.0,0,0.9965273798335893
195,gaussian_noise,medium,25.0,3,0.0
195,gaussian_noise,medium,25.0,4,0.9637436762225969
195,gaussian_noise,medium,25.0,15,0.9616613418530351
195,gaussian_noise,severe,50.0,0,0.9468554315273618
195,gaussian_noise,severe,50.0,3,0.0
195,gaussian_noise,severe,50.0,4,0.0
195,gaussian_noise,severe,50.0,15,0.9541139240506329
195,jpeg_compression,mild,50.0,0,0.9897888326028801
195,jpeg_compression,mild,50.0,3,0.7663551401869159
195,jpeg_compression,mild,50.0,4,0.8180860033726813
195,jpeg_compression,mild,50.0,15,0.985691573926868
195,jpeg_compression,medium,20.0,0,0.9690721649484536
195,jpeg_compression,medium,20.0,3,0.0
195,jpeg_compression,medium,20.0,4,0.4432967959527825
195,jpeg_compression,medium,20.0,15,0.9569377990430622
195,jpeg_compression,severe,5.0,0,0.9461621339253649
195,jpeg_compression,severe,5.0,3,0.0
195,jpeg_compression,severe,5.0,4,0.0
195,jpeg_compression,severe,5.0,15,0.8492935635792779
195,low_light,mild,0.6,0,0.9945666472209831
195,low_light,mild,0.6,3,0.4392523364485981
195,low_light,mild,0.6,4,0.9138040042149631
195,low_light,mild,0.6,15,0.9904458598726115
195,low_light,medium,0.35,0,0.9880898263478498
195,low_light,medium,0.35,3,0.0
195,low_light,medium,0.35,4,0.8039174389216512
195,low_light,medium,0.35,15,0.9841017488076311
195,low_light,severe,0.15,0,0.9547186384847653
195,low_light,severe,0.15,3,0.0
195,low_light,severe,0.15,4,0.15682967959527824
195,low_light,severe,0.15,15,0.9728434504792333
196,gaussian_noise,mild,10.0,0,0.9756771557352879
196,gaussian_noise,mild,10.0,9,0.09625227981408484
196,gaussian_noise,mild,10.0,15,0.0
196,gaussian_noise,mild,10.0,18,0.43544550375545527
196,gaussian_noise,medium,25.0,0,0.9216070089585224
196,gaussian_noise,medium,25.0,9,0.03543155335487888
196,gaussian_noise,medium,25.0,15,0.0
196,gaussian_noise,medium,25.0,18,0.48862874083050223
196,gaussian_noise,severe,50.0,0,0.7833936472341768
196,gaussian_noise,severe,50.0,9,0.19263498087585615
