distortion_type,severity_level,mean_snr_db,std_snr_db,mean_normalized_match_ratio,std_normalized_match_ratio,mean_good_matches,mean_distorted_keypoints
gaussian_noise,mild,22.263024269897087,1.7091153733794489,0.8146519007654036,0.07319390231047236,1102.06,1351.92
gaussian_noise,medium,14.562443216358506,1.6925132398444138,0.6214207149611396,0.12320921859949864,854.2,1389.48
gaussian_noise,severe,9.055607135793828,1.7083522532643023,0.3987093069489409,0.13288536011039953,557.64,1426.75
jpeg_compression,mild,24.36518570503074,3.8016954864218624,0.7797945282392589,0.05982956361834481,1048.47,1335.97
jpeg_compression,medium,21.57804171171805,3.7682486408808313,0.6613241536877265,0.08896386539409519,898.95,1339.65
jpeg_compression,severe,17.24017809576982,3.0780341432388894,0.35636575501974105,0.12267348480784902,498.8,1369.22
low_light,mild,7.90108585647558,0.012478789934184454,0.9001441412657474,0.039255193536050684,991.4,1102.56
low_light,medium,3.698882688787455,0.008315563977852715,0.8748893815434116,0.0611805794107711,589.26,690.47
low_light,severe,1.378792866531965,0.006462826069568811,0.8133809711616733,0.31276537709573443,62.83,73.12
