dataset_index,image_id,num_ground_truth_objects,num_difficult_objects_ignored,num_predictions,true_positives,false_positives,false_negatives,precision,recall,f1_score,matched_iou_sum,mean_matched_iou,mean_prediction_confidence,confidence_threshold,iou_threshold
704,2009_001197,4,0,5,3,2,1,0.6,0.75,0.6666666666666665,2.5103047584587403,0.8367682528195801,0.6057974815368652,0.25,0.5
705,2009_001203,1,0,2,1,1,0,0.5,1.0,0.6666666666666666,0.9728558057033766,0.9728558057033766,0.7237561047077179,0.25,0.5
711,2009_001270,1,0,1,1,0,0,1.0,1.0,1.0,0.979887853541751,0.979887853541751,0.5200214982032776,0.25,0.5
715,2009_001339,5,0,5,5,0,0,1.0,1.0,1.0,4.287461766595021,0.8574923533190042,0.6340822160243988,0.25,0.5
724,2009_001481,2,0,2,2,0,0,1.0,1.0,1.0,1.8812737395101,0.94063686975505,0.8774634599685669,0.25,0.5
731,2009_001636,2,0,2,2,0,0,1.0,1.0,1.0,1.8984907334816983,0.9492453667408491,0.8096655309200287,0.25,0.5
732,2009_001640,1,0,1,1,0,0,1.0,1.0,1.0,0.9370939954379157,0.9370939954379157,0.5386341214179993,0.25,0.5
761,2009_002083,2,0,3,2,1,0,0.6666666666666666,1.0,0.8,1.0973590579928605,0.5486795289964302,0.5537111461162567,0.25,0.5
800,2009_002763,1,0,1,1,0,0,1.0,1.0,1.0,0.9377884096492564,0.9377884096492564,0.890497624874115,0.25,0.5
837,2009_003317,5,0,3,3,0,2,1.0,0.6,0.7499999999999999,2.696961826805712,0.898987275601904,0.6671460270881653,0.25,0.5
859,2009_003736,1,0,1,1,0,0,1.0,1.0,1.0,0.9630593772781938,0.9630593772781938,0.9381488561630249,0.25,0.5
860,2009_003757,7,0,4,3,1,4,0.75,0.42857142857142855,0.5454545454545454,2.7755825971343504,0.9251941990447835,0.8475750833749771,0.25,0.5
903,2009_004446,5,0,4,3,1,2,0.75,0.6,0.6666666666666665,2.826828404810422,0.9422761349368073,0.6357409879565239,0.25,0.5
908,2009_004561,2,0,2,2,0,0,1.0,1.0,1.0,1.9169644424604297,0.9584822212302149,0.9200385510921478,0.25,0.5
926,2009_004980,1,0,1,1,0,0,1.0,1.0,1.0,0.9656255366633643,0.9656255366633643,0.9300473928451538,0.25,0.5
937,2009_005107,1,0,1,1,0,0,1.0,1.0,1.0,0.9100699115738365,0.9100699115738365,0.8381365537643433,0.25,0.5
949,2009_005247,2,0,2,2,0,0,1.0,1.0,1.0,1.6947623521858062,0.8473811760929031,0.6639577597379684,0.25,0.5
966,2010_000285,1,0,1,1,0,0,1.0,1.0,1.0,0.967939397078954,0.967939397078954,0.9469676613807678,0.25,0.5
979,2010_000588,4,0,2,2,0,2,1.0,0.5,0.6666666666666666,1.7922335106360014,0.8961167553180007,0.83188596367836,0.25,0.5
1039,2010_001852,2,0,2,2,0,0,1.0,1.0,1.0,1.9579156214459177,0.9789578107229588,0.9500085711479187,0.25,0.5
1043,2010_001933,1,1,2,1,1,0,0.5,1.0,0.6666666666666666,0.9526758196308726,0.9526758196308726,0.647801399230957,0.25,0.5
1048,2010_002032,6,0,8,4,4,2,0.5,0.6666666666666666,0.5714285714285715,3.626656541003302,0.9066641352508255,0.6919851452112198,0.25,0.5
1059,2010_002203,1,0,1,1,0,0,1.0,1.0,1.0,0.9759851808732044,0.9759851808732044,0.9429523944854736,0.25,0.5
1085,2010_002733,1,0,1,1,0,0,1.0,1.0,1.0,0.7449319609388526,0.7449319609388526,0.8322641253471375,0.25,0.5
1103,2010_003017,6,4,8,5,3,1,0.625,0.8333333333333334,0.7142857142857143,3.857056334526805,0.771411266905361,0.46217359974980354,0.25,0.5
1122,2010_003380,1,0,1,1,0,0,1.0,1.0,1.0,0.9661413489665972,0.9661413489665972,0.9438755512237549,0.25,0.5
1123,2010_003383,3,1,4,3,1,0,0.75,1.0,0.8571428571428571,2.33240056684047,0.7774668556134899,0.7860280126333237,0.25,0.5
1128,2010_003634,1,0,1,1,0,0,1.0,1.0,1.0,0.9661915424345984,0.9661915424345984,0.9241083860397339,0.25,0.5
1134,2010_003717,2,0,1,1,0,1,1.0,0.5,0.6666666666666666,0.9253030252708071,0.9253030252708071,0.8049088716506958,0.25,0.5
1143,2010_003925,1,1,1,1,0,0,1.0,1.0,1.0,0.9676408083266025,0.9676408083266025,0.9077985882759094,0.25,0.5
1152,2010_004071,4,0,4,3,1,1,0.75,0.75,0.75,2.3802977087370776,0.7934325695790259,0.541731983423233,0.25,0.5
1161,2010_004186,4,1,2,1,1,3,0.5,0.25,0.3333333333333333,0.8937846070966918,0.8937846070966918,0.5307725220918655,0.25,0.5
1179,2010_004540,1,0,2,1,1,0,0.5,1.0,0.6666666666666666,0.9415496278502786,0.9415496278502786,0.5665543228387833,0.25,0.5
1187,2010_004683,5,0,4,4,0,1,1.0,0.8,0.888888888888889,3.312046069232284,0.828011517308071,0.7202868387103081,0.25,0.5
1201,2010_004960,1,0,1,1,0,0,1.0,1.0,1.0,0.9056020175347976,0.9056020175347976,0.7320559024810791,0.25,0.5
1211,2010_005128,1,0,3,1,2,0,0.3333333333333333,1.0,0.5,0.982115527593856,0.982115527593856,0.5341165661811829,0.25,0.5
1243,2010_005723,1,0,2,1,1,0,0.5,1.0,0.6666666666666666,0.9889251608735314,0.9889251608735314,0.6045001596212387,0.25,0.5
1272,2011_000006,6,0,6,4,2,2,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.3172782016393936,0.8293195504098484,0.641850620508194,0.25,0.5
1273,2011_000025,2,2,3,2,1,0,0.6666666666666666,1.0,0.8,1.8021581846831327,0.9010790923415664,0.6745742758115133,0.25,0.5
1303,2011_000400,1,0,4,1,3,0,0.25,1.0,0.4,0.9325029907732204,0.9325029907732204,0.6279950886964798,0.25,0.5
1305,2011_000449,1,0,1,1,0,0,1.0,1.0,1.0,0.8204269061446217,0.8204269061446217,0.6781739592552185,0.25,0.5
1324,2011_000652,1,0,1,1,0,0,1.0,1.0,1.0,0.9743237750289379,0.9743237750289379,0.8476276397705078,0.25,0.5
1368,2011_001621,2,2,3,2,1,0,0.6666666666666666,1.0,0.8,1.71197179297558,0.85598589648779,0.6741174757480621,0.25,0.5
1369,2011_001622,8,5,4,4,0,4,1.0,0.5,0.6666666666666666,2.8910755404181927,0.7227688851045482,0.34437886625528336,0.25,0.5
1385,2011_001895,3,0,3,2,1,1,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.7479496825766854,0.8739748412883427,0.6663577258586884,0.25,0.5
1390,2011_001928,4,0,4,4,0,0,1.0,1.0,1.0,3.5149076287051866,0.8787269071762966,0.7943308874964714,0.25,0.5
1422,2011_002464,4,0,4,3,1,1,0.75,0.75,0.75,2.8261983588932273,0.9420661196310758,0.7626083269715309,0.25,0.5
1442,2011_002851,2,0,2,2,0,0,1.0,1.0,1.0,1.8360099363104752,0.9180049681552376,0.7976455092430115,0.25,0.5
1452,2011_003038,5,1,7,4,3,1,0.5714285714285714,0.8,0.6666666666666666,3.447394887977646,0.8618487219944115,0.5930266678333282,0.25,0.5
1460,2011_003216,1,0,1,1,0,0,1.0,1.0,1.0,0.8897394982507472,0.8897394982507472,0.46118006110191345,0.25,0.5
